ending1,ending2,labels,startphrase
Peserta debat itu memiliki pendirian yang teguh.,Peserta debat itu memiliki pendirian yang plin-plan.,0,Peserta debat itu memiliki pendirian seperti tembok yang kokoh.
Peserta debat itu memiliki pendirian yang teguh.,Peserta debat itu memiliki pendirian yang plin-plan.,1,Peserta debat itu memiliki pendirian seperti baling-baling bambu.
Biasanya akhir tahun harga bahan pokok Mahal.,Biasanya akhir tahun harga bahan pokok murah.,0,Biasanya akhir tahun harga bahan pokok melambung tinggi.
Biasanya akhir tahun harga bahan pokok Mahal.,Biasanya akhir tahun harga bahan pokok murah.,1,Biasanya akhir tahun harga bahan pokok banting harga.
Dia adalah orang yang suka marah.,Dia adalah orang sabar.,0,Dia adalah orang yang sering naik darah.
Dia adalah orang yang suka marah.,Dia adalah orang sabar.,1,Dia adalah orang yang lapang dada.
Tono membuka usaha dengan modal sedikit.,Tono membuka usaha dengan modal banyak.,0,Tono membuka usaha dengan modal dengkul.
Tono membuka usaha dengan modal sedikit.,Tono membuka usaha dengan modal banyak.,1,Tono membuka usaha dengan modal sebakul.
Tetangga baru banyak gaya.,"Tetangga baru  mati gaya, norak, kampungan.",0,Tetangga baru gayanya setinggi langit.
Tetangga baru banyak gaya.,"Tetangga baru  mati gaya, norak, kampungan.",1,Tetangga baru gayanya setinggi sandal jepit.
"Semenjak kamu pergi, hidupku menyenangkan.","Semenjak kamu pergi, hidupku menyedihkan, menderita.",0,"Semenjak kamu pergi, hidupku bagai makan buah di surga."
"Semenjak kamu pergi, hidupku menyenangkan.","Semenjak kamu pergi, hidupku menyedihkan, menderita.",1,"Semenjak kamu pergi, hidupku bagai menginjak bara api di neraka."
Tingkahnya lucu.,Tingkahnya menyebalkan.,0,Tingkahnya seperti badut yang membuat orang tertawa.
Tingkahnya lucu.,Tingkahnya menyebalkan.,1,Tingkahnya seperti tokoh antagonis dalam cerita.
"Rumahnya Kotor, berantakan.","Rumahnya bersih, rapi.",0,Rumahnya seperti kapal pecah.
"Rumahnya Kotor, berantakan.","Rumahnya bersih, rapi.",1,Rumahnya seperti istana raja.
Ucapanmu baik.,Ucapanmu buruk.,0,Ucapanmu bagai bunga teratai.
Ucapanmu baik.,Ucapanmu buruk.,1,Ucapanmu bagai bisa ular.
Kisah cinta Rani dan Rino bersatu.,Kisah cinta Rani dan Rino berpisah.,0,Kisah cinta Rani dan Rino seperti keyboard dan mouse.
Kisah cinta Rani dan Rino bersatu.,Kisah cinta Rani dan Rino berpisah.,1,Kisah cinta Rani dan Rino seperti minyak dan air.
Dahinya lebar.,Dahinya sempit.,0,Dahinya seperti lapangan sepak bola.
Dahinya lebar.,Dahinya sempit.,1,Dahinya seperti daun kelor.
"Jika bertemu kekasihnya, wajahnya senang.","Jika bertemu kekasihnya, wajahnya sedih.",0,"Jika bertemu kekasihnya, wajahnya seperti bunga yang baru mekar di taman."
"Jika bertemu kekasihnya, wajahnya senang.","Jika bertemu kekasihnya, wajahnya sedih.",1,"Jika bertemu kekasihnya, wajahnya seperti malam yang mendung tanpa bintang."
"Tubuhnya pendek, kecil.",Tubuhnya tinggi.,0,Tubuhnya seperti Kurcaci.
"Tubuhnya pendek, kecil.",Tubuhnya tinggi.,1,Tubuhnya seperti tiang yang tinggi menjulang.
Guru Matematika di kelasku galak.,Guru Matematika di kelasku baik.,0,Guru Matematika di kelasku seperti monster.
Guru Matematika di kelasku galak.,Guru Matematika di kelasku baik.,1,Guru Matematika di kelasku seperti malaikat.
Anton memperlakukan ibunya dengan buruk.,Anton memperlakukan ibunya dengan baik.,0,Anton memperlakukan ibunya seperti kisah dongeng Malin Kundang.
Anton memperlakukan ibunya dengan buruk.,Anton memperlakukan ibunya dengan baik.,1,Anton memperlakukan ibunya seperti  seorang ratu.
Perasaan Sinta terhadap suaminya rapuh.,Perasaan Sinta terhadap suaminya kuat.,0,Perasaan Sinta terhadap suaminya bagai kayu yang dimakan rayap.
Perasaan Sinta terhadap suaminya rapuh.,Perasaan Sinta terhadap suaminya kuat.,1,Perasaan Sinta terhadap suaminya bagai rantai kapal yang kuat.
Dia adalah anak orang kaya.,Dia adalah anak orang miskin.,0,Dia adalah anak juragan tanah.
Dia adalah anak orang kaya.,Dia adalah anak orang miskin.,1,Dia adalah anak pengemis di lampu merah.
Jarak rumahku dengan pasar dekat.,Jarak rumahku dengan pasar jauh.,0,Jarak rumahku dengan pasar seperti urat dan nadi.
Jarak rumahku dengan pasar dekat.,Jarak rumahku dengan pasar jauh.,1,Jarak rumahku dengan pasar seperti langit dan bumi.
Rinduku padamu banyak.,Rinduku padamu sedikit.,0,Rinduku padamu bagai air di samudra.
Rinduku padamu banyak.,Rinduku padamu sedikit.,1,Rinduku padamu bagai air di timba.
"Di kelas, Wildan adalah anak yang pintar.","Di kelas, Wildan adalah anak yang bodoh.",0,"Di kelas, Wildan adalah anak yang dijuluki bintang kelas."
"Di kelas, Wildan adalah anak yang pintar.","Di kelas, Wildan adalah anak yang bodoh.",1,"Di kelas, Wildan adalah anak yang dijuluki otak udang."
Mulutnya harum.,Mulutnya bau.,0,Aroma mulutnya seharum bunga melati.
Mulutnya harum.,Mulutnya bau.,1,Aroma mulutnya seharum bunga bangkai.
Alis kakak tipis.,Alis kakak tebal.,0,Alis kakak seperti semut beriring.
Alis kakak tipis.,Alis kakak tebal.,1,Alis kakak seperti Shin-chan.
Pedagang itu rugi.,Pedagang itu untung.,0,Pedagang itu bagai terjatuh kemudian tertimpa tangga.
Pedagang itu rugi.,Pedagang itu untung.,1,Pedagang itu bagai mendapat durian runtuh.
Hidupku terkungkung.,Hidupku bebas.,0,Hidupku bagai burung dalam sangkar.
Hidupku terkungkung.,Hidupku bebas.,1,Hidupku bagai burung yang terbang di angkasa.
Kecepatan lari atlet maraton asal Indonesia cepat.,Kecepatan lari atlet maraton asal Indonesia lambat.,0,Kecepatan lari atlet maraton asal Indonesia seperti citah yang memburu mangsa.
Kecepatan lari atlet maraton asal Indonesia cepat.,Kecepatan lari atlet maraton asal Indonesia lambat.,1,Kecepatan lari atlet maraton asal Indonesia seperti siput yang kelaparan.
Kasur ini keras.,Kasur ini empuk.,0,Kasur ini bagai beton.
Kasur ini keras.,Kasur ini empuk.,1,Kasur ini bagai bolu.
Matanya sipit.,Matanya bulat.,0,Matanya seperti daun bambu.
Matanya sipit.,Matanya bulat.,1,Matanya seperti bola pingpong.
Mentalnya kuat.,Mentalnya lemah.,0,Mentalnya sekuat baja.
Mentalnya kuat.,Mentalnya lemah.,1,Mentalnya sekuat kerupuk.
"Berada di dekatmu, hatiku gelisah.","Berada di dekatmu, hatiku tenang.",0,"Berada di dekatmu, hatiku bagai ombak dalam lautan."
"Berada di dekatmu, hatiku gelisah.","Berada di dekatmu, hatiku tenang.",1,"Berada di dekatmu, hatiku bagai bayi dalam dekapan ibu."
Tubuhnya kuat.,Tubuhnya lemah.,0,Tubuhnya seperti tembok beton.
Tubuhnya kuat.,Tubuhnya lemah.,1,Tubuhnya seperti ranting pohon.
Dia selalu ceria.,Dia  selalu murung.,0,Dia bagaikan Malaikat yang membawa segudang kebahagiaan.
Dia selalu ceria.,Dia  selalu murung.,1,Dia bagaikan  padang pasir yang gersang dan tandus.
Mengambil pendidikan S3 menderita.,Mengambil pendidikan S3 menyenangkan.,0,Mengambil pendidikan S3 ibarat berlari di atas hamparan beling.
Mengambil pendidikan S3 menderita.,Mengambil pendidikan S3 menyenangkan.,1,Mengambil pendidikan S3 ibarat berjalan di taman bunga.
Pergi ke Bandung namun tidak wisata kuliner ada yang kurang.,Pergi ke Bandung namun tidak wisata kuliner tidak ada yang salah.,0,Pergi ke Bandung namun tidak wisata kuliner bagai makan tanpa minum.
Pergi ke Bandung namun tidak wisata kuliner ada yang kurang.,Pergi ke Bandung namun tidak wisata kuliner tidak ada yang salah.,1,Pergi ke Bandung namun tidak wisata kuliner bagai berlari menggunakan sepatu.
Budi makan rakus.,Budi makan irit.,0,Budi makan seolah-olah dia akan mati esok.
Budi makan rakus.,Budi makan irit.,1,Budi makan seolah-olah itu makanan terakhir yang dimilikinya.
Dito mengendarai mobil sembarangan dan urakan.,Dito mengendarai mobil hati-hati.,0,Dito mengendarai mobil seolah-olah dia anak pemilik jalan.
Dito mengendarai mobil sembarangan dan urakan.,Dito mengendarai mobil hati-hati.,1,Dito mengendarai mobil seolah-olah cicilan mobil belum lunas.
Mencari kerja di tengah pandemi sulit.,Mencari kerja di tengah pandemi mudah.,0,Mencari kerja di tengah pandemi bak mengajari ayam memanjat pohon.
Mencari kerja di tengah pandemi sulit.,Mencari kerja di tengah pandemi mudah.,1,Mencari kerja di tengah pandemi bak mengajari burung beo bernyanyi.
Rasa penasaranku tinggi.,Rasa penasaranku rendah.,0,Rasa penasaranku setara dengan burj khalifa.
Rasa penasaranku tinggi.,Rasa penasaranku rendah.,1,Rasa penasaranku setara dengan kurcaci.
Keluargaku berharga.,Keluargaku beban.,0,Keluargaku adalah hartaku.
Keluargaku berharga.,Keluargaku beban.,1,Keluargaku adalah utangku.
Kasihku padamu sementara.,Kasihku padamu abadi.,0,Kasihku padamu bagai kayu berselimut api.
Kasihku padamu sementara.,Kasihku padamu abadi.,1,Kasihku padamu bagai panasnya api.
Kulkas rumahmu serba ada.,Kulkas rumahmu kosong.,0,Kulkas rumahmu seperti kantong Doraemon.
Kulkas rumahmu serba ada.,Kulkas rumahmu kosong.,1,Kulkas rumahmu seperti saldo tabunganku.
Masa depanmu cerah.,Masa depanmu gelap.,0,Masa depanmu layaknya kota Jakarta di malam hari.
Masa depanmu cerah.,Masa depanmu gelap.,1,Masa depanmu layaknya hutan Alas Purwo di malam hari.
Pikirannya jernih.,Pikirannya keruh.,0,Pikirannya bak kaca rumah yang baru selesai dibersihkan.
Pikirannya jernih.,Pikirannya keruh.,1,Pikirannya bak air cucian ban di bengkel.
Mengejar cita-cita sulit.,Mengejar cita-cita mudah.,0,Mengejar cita-cita ibarat mendaki gunung Everest.
Mengejar cita-cita sulit.,Mengejar cita-cita mudah.,1,Mengejar cita-cita ibarat membalikkan telapak tangan.
"Membeli mobil, namun tidak memakainya sia-sia.","Membeli mobil, namun tidak memakainya berguna.",0,"Membeli mobil, namun tidak memakainya bak menyapu pasir di pantai."
"Membeli mobil, namun tidak memakainya sia-sia.","Membeli mobil, namun tidak memakainya berguna.",1,"Membeli mobil, namun tidak memakainya bak menampung air dalam ember."
Tubuhku dulu tinggi dan kurus.,Tubuhku dulu pendek.,0,Tubuhku dulu sudah seperti tiang listrik.
Tubuhku dulu tinggi dan kurus.,Tubuhku dulu pendek.,1,Tubuhku dulu sudah seperti ucok baba.
Belajar menyetir sulit.,Belajar menyetir mudah.,0,Belajar menyetir adalah perjalanan menuju puncak gunung.
Belajar menyetir sulit.,Belajar menyetir mudah.,1,Belajar menyetir adalah perjalanan santai di pinggir pantai.
Perjuangan masuk ITB sulit.,Perjuangan masuk ITB mudah.,0,Perjuangan masuk ITB adalah usaha mencium siku sendiri.
Perjuangan masuk ITB sulit.,Perjuangan masuk ITB mudah.,1,Perjuangan masuk ITB adalah usaha orang kidal menulis menggunakan tangan kiri.
Menikah dengannya mustahil.,Menikah dengannya mungkin.,0,Menikah dengannya itu bagai melihat Yesus ibadah haji.
Menikah dengannya mustahil.,Menikah dengannya mungkin.,1,Menikah dengannya itu bagai melihat Rihanna konser di Indonesia.
Kelas ini kotor dan berisik.,Kelas ini bersih.,0,Kelas ini nampak seperti pasar ikan.
Kelas ini kotor dan berisik.,Kelas ini bersih.,1,Kelas ini nampak seperti toilet mal mewah.
Kulit wajahnya halus.,Kulit wajahnya kasar.,0,Kulit wajahnya bagai tembok bangunan hasil dempul.
Kulit wajahnya halus.,Kulit wajahnya kasar.,1,Kulit wajahnya bagai jalan raya belum diaspal.
Sudah seminggu ini kampung halamanku ramai.,Sudah seminggu ini kampung halamanku sepi.,0,Sudah seminggu ini kampung halamanku bagai Puncak di akhir pekan.
Sudah seminggu ini kampung halamanku ramai.,Sudah seminggu ini kampung halamanku sepi.,1,Sudah seminggu ini kampung halamanku bagai sekolah di tengah malam.
Menyetrika baju melelahkan.,Menyetrika baju menyenangkan.,0,Menyetrika baju adalah perjalanan panjang di padang pasir.
Menyetrika baju melelahkan.,Menyetrika baju menyenangkan.,1,Menyetrika baju adalah jalan-jalan di mal mewah.
Menunggu season 2 seri ini lama sekali.,Menunggu season 2 seri ini cepat.,0,Menunggu season 2 seri ini bagai berjalan kaki dari Jakarta ke Palembang.
Menunggu season 2 seri ini lama sekali.,Menunggu season 2 seri ini cepat.,1,Menunggu season 2 seri ini bagai kedipan mata.
Kedatangannya berkah.,Kedatangannya musibah.,0,Kedatangannya adalah hujan di tengah gurun.
Kedatangannya berkah.,Kedatangannya musibah.,1,Kedatangannya adalah banjir di siang bolong.
Belajar bahasa Mandarin sulit.,Belajar bahasa Mandarin mudah.,0,Belajar bahasa Mandarin seperti berenang di saat kaki keram.
Belajar bahasa Mandarin sulit.,Belajar bahasa Mandarin mudah.,1,Belajar bahasa Mandarin seperti berenang menggunakan pelampung.
Cerita film ini kompleks.,Cerita film ini sederhana.,0,Cerita film ini sudah seperti kisah janda buta yang dituduh mencuri sapi padahal ia adalah ibu dari kepala desa setempat.
Cerita film ini kompleks.,Cerita film ini sederhana.,1,Cerita film ini sudah seperti satu ditambah satu sama dengan dua.
Perbuatanmu berdosa.,Perbuatanmu tidak ada yang salah.,0,Perbuatanmu itu sudah seperti seorang muslim yang menato tubuhnya.
Perbuatanmu berdosa.,Perbuatanmu tidak ada yang salah.,1,Perbuatanmu itu sudah seperti seorang kristian yang merayakan natal.
Hidup itu sulit.,Hidup itu mudah.,0,Hidup adalah perjuangan mencari jarum di tumpukan jerami.
Hidup itu sulit.,Hidup itu mudah.,1,Hidup adalah perjuangan membersihkan hati mata.
Kesabaranmu panjang.,Kesabaranmu pendek.,0,Kesabaranmu bagaikan jalur kereta api Anyer-Panarukan.
Kesabaranmu panjang.,Kesabaranmu pendek.,1,Kesabaranmu bagaikan rambut bondol polwan.
Alur cerita buku ini dalam.,Alur cerita buku ini dangkal.,0,Alur cerita buku ini sedalam samudera Hindia.
Alur cerita buku ini dalam.,Alur cerita buku ini dangkal.,1,Alur cerita buku ini sedalam selokan sebelah rumahku.
Tulisanmu rapi.,Tulisanmu berantakan.,0,Tulisanmu sudah seperti lemari baju Marie Kondo.
Tulisanmu rapi.,Tulisanmu berantakan.,1,Tulisanmu sudah seperti hasil gambar anak TK.
Pengalamanmu itu berharga.,Pengalamanmu itu tidak berharga.,0,Pengalamanmu itu ibarat lukisan Van Gogh.
Pengalamanmu itu berharga.,Pengalamanmu itu tidak berharga.,1,Pengalamanmu itu ibarat kertas bungkus gorengan.
Pernikahan itu suci.,Pernikahan itu profan.,0,Pernikahan adalah sajadah tempat kita beribadah.
Pernikahan itu suci.,Pernikahan itu profan.,1,Pernikahan adalah air liur anjing.
Putus cinta itu perih dan menyakitkan.,Putus cinta itu manis dan menyenangkan.,0,Putus cinta ibarat teriris pisau saat mengupas mangga muda.
Putus cinta itu perih dan menyakitkan.,Putus cinta itu manis dan menyenangkan.,1,Putus cinta ibarat mengigit apel ranum yang baru dipetik.
Perasaanku saat ini bahagia.,Perasaanku saat ini sedih.,0,Perasaanku saat ini seperti anak TK yang dibelikan es krim oleh ibunya.
Perasaanku saat ini bahagia.,Perasaanku saat ini sedih.,1,Perasaanku saat ini seperti karyawan yang mendapatkan surat pemecatan dari bosnya.
Tas yang dia beli mahal.,Tas yang dia beli murah.,0,Tas yang dia beli seharga uang makanku tiga bulan.
Tas yang dia beli mahal.,Tas yang dia beli murah.,1,Tas yang dia beli seharga uang parkir Indomaret.
Sepatunya langka.,Sepatunya pasaran.,0,Sepatunya sudah seperti badak bercula satu.
Sepatunya langka.,Sepatunya pasaran.,1,Sepatunya sudah seperti burung gereja di halaman sekolah.
Mengerjakan skripsi sulit dan menderita.,Mengerjakan skripsi mudah dan menyenangkan.,0,Mengerjakan skripsi adalah perjalanan di atas serpihan kaca.
Mengerjakan skripsi sulit dan menderita.,Mengerjakan skripsi mudah dan menyenangkan.,1,Mengerjakan skripsi adalah perjalanan di atas karpet bulu.
Hidupku manis dan berwarna.,Hidupku monoton dan hitam putih.,0,Hidupku sudah seperti kembang gula anak-anak.
Hidupku manis dan berwarna.,Hidupku monoton dan hitam putih.,1,Hidupku sudah seperti kertas hasil fotokopi.
Sikapmu padaku dingin.,Sikapmu padaku hangat.,0,Sikapmu padaku bagai kopi sisa semalam.
Sikapmu padaku dingin.,Sikapmu padaku hangat.,1,Sikapmu padaku bagai kopi yang baru dibuat.
Seorang pelajar harus memiliki jiwa tangguh.,Seorang pelajar harus memiliki jiwa rentan.,0,Seorang pelajar harus memiliki jiwa layaknya atlet olimpiade.
Seorang pelajar harus memiliki jiwa tangguh.,Seorang pelajar harus memiliki jiwa rentan.,1,Seorang pelajar harus memiliki jiwa layaknya pasien rumah sakit.
Rumah kawanku besar dan mewah.,Rumah kawanku kecil dan sempit.,0,Rumah kawanku sudah bak istana presiden.
Rumah kawanku besar dan mewah.,Rumah kawanku kecil dan sempit.,1,Rumah kawanku sudah bak toilet kereta ekonomi.
Parfum ini harum.,Parfum ini bau busuk.,0,Parfum baru ini sewangi bunga mawar yang mekar di taman.
Parfum ini harum.,Parfum ini bau busuk.,1,Parfum baru ini sewangi bunga bangkai yang mekar di hutan.
Gaji yang kuterima kecil.,Gaji yang kuterima besar.,0,Gaji yang kuterima ibarat ukuran sepatu bayi baru lahir.
Gaji yang kuterima kecil.,Gaji yang kuterima besar.,1,Gaji yang kuterima ibarat gudang penyimpanan beras bulog.
Wajahnya segar.,Wajahnya layu.,0,Wajahnya bak sayuran yang baru dipetik dari kebun.
Wajahnya segar.,Wajahnya layu.,1,Wajahnya bak sayuran yang sudah dua minggu di kulkas.
Aku dan dia pasangan yang berakhir bahagia.,Aku dan dia pasangan yang tidak berakhir bahagia.,0,Aku dan dia adalah Edward Cullen dan Bella Swan di Twilight.
Aku dan dia pasangan yang berakhir bahagia.,Aku dan dia pasangan yang tidak berakhir bahagia.,1,Aku dan dia adalah Rose dan Jack di Titanic.
Nyanyianmu tidak merdu.,Nyanyianmu merdu.,0,Nyanyianmu seperti teriakan bayi yang ingin ganti popok.
Nyanyianmu tidak merdu.,Nyanyianmu merdu.,1,Nyanyianmu seperti kicauan burung di pagi hari.
Hadiah ulang tahunku tahun ini satu atau sedikit.,Hadiah ulang tahunku tahun ini banyak.,0,Hadiah ulang tahunku tahun ini seperti jumlah bulan di langit.
Hadiah ulang tahunku tahun ini satu atau sedikit.,Hadiah ulang tahunku tahun ini banyak.,1,Hadiah ulang tahunku tahun ini seperti jumlah bintang di langit.
Potongan rambutmu indah dan cantik.,Potongan rambutmu jelek dan berantakan.,0,Potongan rambutmu bak putri-putri di film Disney.
Potongan rambutmu indah dan cantik.,Potongan rambutmu jelek dan berantakan.,1,Potongan rambutmu bak Tarzan.
Waktu yang kuhabiskan untuk menunggu barang ini sangat lama.,Waktu yang kuhabiskan untuk menunggu barang ini sangat cepat.,0,Waktu yang kuhabiskan untuk menunggu barang ini datang adalah 1000 tahun.
Waktu yang kuhabiskan untuk menunggu barang ini sangat lama.,Waktu yang kuhabiskan untuk menunggu barang ini sangat cepat.,1,Waktu yang kuhabiskan untuk menunggu barang ini datang adalah satu kedipan mata.
Pekerjaan ini dapat kuselesaikan dengan mudah.,Pekerjaan ini dapat kuselesaikan dengan sulit.,0,Pekerjaan ini dapat kuselesaikan dengan jentikan jari.
Pekerjaan ini dapat kuselesaikan dengan mudah.,Pekerjaan ini dapat kuselesaikan dengan sulit.,1,Pekerjaan ini dapat kuselesaikan dengan bermandikan keringat.
Hidup tanpa ilmu itu gelap.,Hidup tanpa ilmu itu terang.,0,Hidup tanpa ilmu bagai kamar tanpa lampu.
Hidup tanpa ilmu itu gelap.,Hidup tanpa ilmu itu terang.,1,Hidup tanpa ilmu bagai lampu bohlam 100 watt.
Dia sudah lama hidup bergantung kepada keluarga.,Dia sudah lama hidup memikul beban keluarga.,0,Dia sudah lama hidup berpangku tangan.
Dia sudah lama hidup bergantung kepada keluarga.,Dia sudah lama hidup memikul beban keluarga.,1,Dia sudah lama hidup menjadi tulang punggung.
Pernikahan itu menyenangkan.,Pernikahan itu menderita.,0,Pernikahan adalah perjalanan menyusuri sungai cantik yang airnya jernih.
Pernikahan itu menyenangkan.,Pernikahan itu menderita.,1,Pernikahan adalah perjalanan di padang pasir mencari sumber air.
Anak kecil itu suci.,Anak kecil itu profan.,0,Anak kecil adalah kertas putih yang masih kosong.
Anak kecil itu suci.,Anak kecil itu profan.,1,Anak kecil adalah kertas gorengan yang penuh dengan minyak.
Dia kini tubuhnya besar.,Dia kini tubuhnya kecil.,0,Dia kini sudah sebesar kingkong.
Dia kini tubuhnya besar.,Dia kini tubuhnya kecil.,1,Dia kini sudah sebesar tikus.
Kalau sedang lapar dia berisik.,Kalau sedang lapar dia tenang.,0,Kalau sedang lapar dia seperti anak ayam yang belum diberi makan.
Kalau sedang lapar dia berisik.,Kalau sedang lapar dia tenang.,1,Kalau sedang lapar dia seperti air sungai yang sangat dalam.
Beban yang kutanggung ringan.,Beban yang kutanggung berat.,0,Beban yang kutanggung sudah seperti sekarung kapas.
Beban yang kutanggung ringan.,Beban yang kutanggung berat.,1,Beban yang kutanggung sudah seperti sebongkah beton.
Hadiah dari ibu berharga.,Hadiah dari ibu tidak berharga.,0,Hadiah dari ibu ibarat emas 24 karat.
Hadiah dari ibu berharga.,Hadiah dari ibu tidak berharga.,1,Hadiah dari ibu ibarat sekarung besi berkarat.
Aku merasa lapar sekali.,Aku merasa kenyang sekali.,0,Aku merasa seperti sedang berpuasa 30 hari penuh tanpa pernah berbuka.
Aku merasa lapar sekali.,Aku merasa kenyang sekali.,1,Aku merasa seperti memakan seluruh menu yang ada di rumah makan Padang.
Cuaca di Surabaya panas sekali.,Cuaca di Surabaya sejuk sekali.,0,Cuaca di Surabaya sepanas gerbang neraka jahanam.
Cuaca di Surabaya panas sekali.,Cuaca di Surabaya sejuk sekali.,1,Cuaca di Surabaya sepanas kulkas dua pintu.
Masakan ibumu luar biasa enak.,Masakan ibumu sangat tidak enak.,0,Masakan ibumu layaknya makanan yang dibawakan langsung dari surga.
Masakan ibumu luar biasa enak.,Masakan ibumu sangat tidak enak.,1,Masakan ibumu layaknya makanan sisa yang telah dijilati kucing.
Kasur hotel ini empuk dan lembut.,Kasur hotel ini keras sekali.,0,Kasur hotel ini selembut hamparan kapas dan kain sutra.
Kasur hotel ini empuk dan lembut.,Kasur hotel ini keras sekali.,1,Kasur hotel ini selembut bangku kayu jati di sekolah-sekolah.
Handphone miliknya canggih.,Handphone miliknya kuno.,0,Handphone miliknya bagai barang ajaib Doraemon.
Handphone miliknya canggih.,Handphone miliknya kuno.,1,Handphone miliknya bagai baju hangat nenek buyutku.
Rambutku tebal.,Rambutku tipis.,0,Rambutku setebal buku-buku Harry Potter.
Rambutku tebal.,Rambutku tipis.,1,Rambutku setebal isi dompetku di akhir bulan.
Lagu yang kau nyanyikan merdu.,Lagu yang kau nyanyikan berisik dan mengganggu.,0,Lagu yang kau nyanyikan ibarat hujan rintik pengantar tidur.
Lagu yang kau nyanyikan merdu.,Lagu yang kau nyanyikan berisik dan mengganggu.,1,Lagu yang kau nyanyikan ibarat bunyi klakson pengendara di lampu merah yang baru saja berubah hijau.
Gaun pengantin yang ia kenakan indah dan cantik.,Gaun pengantin yang ia kenakan jelek.,0,Gaun pengantin yang ia kenakan bak gaun malaikat yang terbuat dari ratusan benang surga.
Gaun pengantin yang ia kenakan indah dan cantik.,Gaun pengantin yang ia kenakan jelek.,1,Gaun pengantin yang ia kenakan bak daster ibu-ibu yang hendak pergi ke pasar.
Rasa sakit ini sakit sekali.,Rasa sakit ini tidak sakit sama sekali.,0,Rasa sakit ini bagai dihujani ratusan panah yang mendarat langsung di tubuhku.
Rasa sakit ini sakit sekali.,Rasa sakit ini tidak sakit sama sekali.,1,Rasa sakit ini bagai digigit anak semut.
Penjelasanmu tidak jelas.,Penjelasanmu jelas.,0,Penjelasanmu sejelas penglihatan orang rabun tanpa kacamata.
Penjelasanmu tidak jelas.,Penjelasanmu jelas.,1,Penjelasanmu sejelas video youtube dengan resolusi HD.
Suaranya lantang.,Suaranya sayup.,0,Suaranya sudah seperti komando pemimpin upacara bendera.
Suaranya lantang.,Suaranya sayup.,1,Suaranya sudah seperti bisikan ibu yang tidak ingin membangunkan bayinya.
Sikapnya akhir-akhir ini dingin.,Sikapnya akhir-akhir ini panas.,0,Sikapnya akhir-akhir ini ibarat suhu Dieng selepas di malam hari.
Sikapnya akhir-akhir ini dingin.,Sikapnya akhir-akhir ini panas.,1,Sikapnya akhir-akhir ini ibarat cuaca Depok di siang bolong.
Harapan orang tuaku tinggi.,Harapan orang tuaku rendah.,0,Harapan orang tuaku setinggi menara Burj Khalifa di Dubai.
Harapan orang tuaku tinggi.,Harapan orang tuaku rendah.,1,Harapan orang tuaku setinggi lutut kurcaci Putri Salju.
Perasaan ini dalam.,Perasaan ini dangkal.,0,Perasaan ini sepertinya sudah sedalam palung Mariana.
Perasaan ini dalam.,Perasaan ini dangkal.,1,Perasaan ini sepertinya sudah sedalam kolam renang anak SD.
Ia belanja seperti orang kerasukan.,Ia belanja sesuai kebutuhan.,0,Ia belanja seolah-olah akan terjadi lockdown besok pagi.
Ia belanja seperti orang kerasukan.,Ia belanja sesuai kebutuhan.,1,Ia belanja seolah-olah tidak membutuhkan apapun karena semua telah dimilikinya di rumah.
Amarahku mendidih.,Amarahku mereda.,0,Amarahku sudah seperti air panas di suhu 100 derajat.
Amarahku mendidih.,Amarahku mereda.,1,Amarahku sudah seperti air hujan yang berhenti turun.
Berkencan denganmu menyenangkan.,Berkencan denganmu memalukan.,0,Berkencan denganmu bagai berkencan dengan pangeran berkuda putih.
Berkencan denganmu menyenangkan.,Berkencan denganmu memalukan.,1,Berkencan denganmu bagai berkencan dengan pangeran kodok.
Belajar sejarah membosankan.,Belajar sejarah menyenangkan.,0,Belajar sejarah adalah hari-hari panjang pasien di rumah sakit.
Belajar sejarah membosankan.,Belajar sejarah menyenangkan.,1,Belajar sejarah adalah tamasya anak-anak ke taman hiburan.
Jumlah uang di dompetku banyak.,Jumlah uang di dompetku tidak ada.,0,Jumlah uang di dompetku seperti jumlah daun pada pohon beringin yang rimbun.
Jumlah uang di dompetku banyak.,Jumlah uang di dompetku tidak ada.,1,Jumlah uang di dompetku seperti jumlah kaki ular.
Anak sematawayang berharga.,Anak sematawayang beban.,0,Anak sematawayang adalah mata air di tengah savana.
Anak sematawayang berharga.,Anak sematawayang beban.,1,Anak sematawayang adalah pinjaman online yang tak kunjung lunas.
Daya tangkapmu cepat.,Daya tangkapmu lambat.,0,Daya tangkapmu layaknya internet 5G.
Daya tangkapmu cepat.,Daya tangkapmu lambat.,1,Daya tangkapmu layaknya internet 2G.
Seminggu ini perasaanku sedih dan muram.,Seminggu ini perasaanku ceria.,0,Seminggu ini perasaanku bagai langit dan awan kelabu.
Seminggu ini perasaanku sedih dan muram.,Seminggu ini perasaanku ceria.,1,Seminggu ini perasaanku bagai matahari cerah di siang hari.
"Aku pikir, kehidupan itu penuh tantangan.","Aku pikir, kehidupan itu bebas hambatan.",0,"Aku pikir, kehidupan itu layaknya berlayar di lautan yang penuh ombak."
"Aku pikir, kehidupan itu penuh tantangan.","Aku pikir, kehidupan itu bebas hambatan.",1,"Aku pikir, kehidupan itu layaknya mengendarai mobil di jalan tol."
Hidup harus fleksibel.,Hidup harus kaku.,0,Hiduplah seperti instruktur yoga.
Hidup harus fleksibel.,Hidup harus kaku.,1,Hiduplah seperti kanebo kering.
